#bamPEFragmentSize
Size	Occurrences	Sample
28	1	CRAMP1_D1_R2
29	2	CRAMP1_D1_R2
30	1	CRAMP1_D1_R2
31	2	CRAMP1_D1_R2
32	3	CRAMP1_D1_R2
33	6	CRAMP1_D1_R2
34	3	CRAMP1_D1_R2
35	8	CRAMP1_D1_R2
36	5	CRAMP1_D1_R2
37	3	CRAMP1_D1_R2
38	11	CRAMP1_D1_R2
39	8	CRAMP1_D1_R2
40	7	CRAMP1_D1_R2
41	11	CRAMP1_D1_R2
42	11	CRAMP1_D1_R2
43	10	CRAMP1_D1_R2
44	8	CRAMP1_D1_R2
45	14	CRAMP1_D1_R2
46	13	CRAMP1_D1_R2
47	10	CRAMP1_D1_R2
48	15	CRAMP1_D1_R2
49	22	CRAMP1_D1_R2
50	13	CRAMP1_D1_R2
51	19	CRAMP1_D1_R2
52	16	CRAMP1_D1_R2
53	16	CRAMP1_D1_R2
54	18	CRAMP1_D1_R2
55	22	CRAMP1_D1_R2
56	10	CRAMP1_D1_R2
57	22	CRAMP1_D1_R2
58	17	CRAMP1_D1_R2
59	23	CRAMP1_D1_R2
60	22	CRAMP1_D1_R2
61	16	CRAMP1_D1_R2
62	17	CRAMP1_D1_R2
63	17	CRAMP1_D1_R2
64	14	CRAMP1_D1_R2
65	19	CRAMP1_D1_R2
66	18	CRAMP1_D1_R2
67	14	CRAMP1_D1_R2
68	20	CRAMP1_D1_R2
69	27	CRAMP1_D1_R2
70	15	CRAMP1_D1_R2
71	21	CRAMP1_D1_R2
72	17	CRAMP1_D1_R2
73	13	CRAMP1_D1_R2
74	18	CRAMP1_D1_R2
75	26	CRAMP1_D1_R2
76	14	CRAMP1_D1_R2
77	23	CRAMP1_D1_R2
78	13	CRAMP1_D1_R2
79	19	CRAMP1_D1_R2
80	18	CRAMP1_D1_R2
81	16	CRAMP1_D1_R2
82	13	CRAMP1_D1_R2
83	20	CRAMP1_D1_R2
84	11	CRAMP1_D1_R2
85	15	CRAMP1_D1_R2
86	14	CRAMP1_D1_R2
87	16	CRAMP1_D1_R2
88	21	CRAMP1_D1_R2
89	21	CRAMP1_D1_R2
90	18	CRAMP1_D1_R2
91	23	CRAMP1_D1_R2
92	14	CRAMP1_D1_R2
93	10	CRAMP1_D1_R2
94	15	CRAMP1_D1_R2
95	16	CRAMP1_D1_R2
96	14	CRAMP1_D1_R2
97	14	CRAMP1_D1_R2
98	12	CRAMP1_D1_R2
99	15	CRAMP1_D1_R2
100	10	CRAMP1_D1_R2
101	15	CRAMP1_D1_R2
102	14	CRAMP1_D1_R2
