#bamPEFragmentSize
Size	Occurrences	Sample
22	1	CRAMP1_SANT_R3
23	1	CRAMP1_SANT_R3
24	4	CRAMP1_SANT_R3
25	1	CRAMP1_SANT_R3
26	5	CRAMP1_SANT_R3
27	2	CRAMP1_SANT_R3
28	5	CRAMP1_SANT_R3
29	3	CRAMP1_SANT_R3
30	3	CRAMP1_SANT_R3
31	4	CRAMP1_SANT_R3
32	9	CRAMP1_SANT_R3
33	9	CRAMP1_SANT_R3
34	9	CRAMP1_SANT_R3
35	3	CRAMP1_SANT_R3
36	9	CRAMP1_SANT_R3
37	17	CRAMP1_SANT_R3
38	20	CRAMP1_SANT_R3
39	16	CRAMP1_SANT_R3
40	21	CRAMP1_SANT_R3
41	22	CRAMP1_SANT_R3
42	19	CRAMP1_SANT_R3
43	16	CRAMP1_SANT_R3
44	11	CRAMP1_SANT_R3
45	23	CRAMP1_SANT_R3
46	23	CRAMP1_SANT_R3
47	32	CRAMP1_SANT_R3
48	34	CRAMP1_SANT_R3
49	33	CRAMP1_SANT_R3
50	29	CRAMP1_SANT_R3
51	28	CRAMP1_SANT_R3
52	26	CRAMP1_SANT_R3
53	26	CRAMP1_SANT_R3
54	19	CRAMP1_SANT_R3
55	32	CRAMP1_SANT_R3
56	35	CRAMP1_SANT_R3
57	40	CRAMP1_SANT_R3
58	32	CRAMP1_SANT_R3
59	39	CRAMP1_SANT_R3
60	43	CRAMP1_SANT_R3
61	48	CRAMP1_SANT_R3
62	24	CRAMP1_SANT_R3
63	28	CRAMP1_SANT_R3
64	33	CRAMP1_SANT_R3
65	33	CRAMP1_SANT_R3
66	31	CRAMP1_SANT_R3
67	39	CRAMP1_SANT_R3
68	44	CRAMP1_SANT_R3
69	42	CRAMP1_SANT_R3
70	39	CRAMP1_SANT_R3
71	43	CRAMP1_SANT_R3
72	31	CRAMP1_SANT_R3
73	44	CRAMP1_SANT_R3
74	40	CRAMP1_SANT_R3
75	38	CRAMP1_SANT_R3
76	27	CRAMP1_SANT_R3
77	41	CRAMP1_SANT_R3
78	55	CRAMP1_SANT_R3
79	39	CRAMP1_SANT_R3
80	53	CRAMP1_SANT_R3
81	43	CRAMP1_SANT_R3
82	50	CRAMP1_SANT_R3
83	40	CRAMP1_SANT_R3
84	44	CRAMP1_SANT_R3
85	28	CRAMP1_SANT_R3
86	37	CRAMP1_SANT_R3
87	40	CRAMP1_SANT_R3
88	45	CRAMP1_SANT_R3
89	56	CRAMP1_SANT_R3
90	42	CRAMP1_SANT_R3
91	43	CRAMP1_SANT_R3
92	43	CRAMP1_SANT_R3
