#bamPEFragmentSize
Size	Occurrences	Sample
23	1	CRAMP1_WT_R1
24	2	CRAMP1_WT_R1
26	2	CRAMP1_WT_R1
27	2	CRAMP1_WT_R1
28	5	CRAMP1_WT_R1
29	4	CRAMP1_WT_R1
30	4	CRAMP1_WT_R1
31	1	CRAMP1_WT_R1
32	5	CRAMP1_WT_R1
33	1	CRAMP1_WT_R1
34	4	CRAMP1_WT_R1
35	7	CRAMP1_WT_R1
36	3	CRAMP1_WT_R1
37	11	CRAMP1_WT_R1
38	10	CRAMP1_WT_R1
39	9	CRAMP1_WT_R1
40	6	CRAMP1_WT_R1
41	7	CRAMP1_WT_R1
42	13	CRAMP1_WT_R1
43	10	CRAMP1_WT_R1
44	8	CRAMP1_WT_R1
45	10	CRAMP1_WT_R1
46	17	CRAMP1_WT_R1
47	15	CRAMP1_WT_R1
48	20	CRAMP1_WT_R1
49	15	CRAMP1_WT_R1
50	14	CRAMP1_WT_R1
51	9	CRAMP1_WT_R1
52	11	CRAMP1_WT_R1
53	13	CRAMP1_WT_R1
54	16	CRAMP1_WT_R1
55	17	CRAMP1_WT_R1
56	12	CRAMP1_WT_R1
57	19	CRAMP1_WT_R1
58	22	CRAMP1_WT_R1
59	16	CRAMP1_WT_R1
60	26	CRAMP1_WT_R1
61	16	CRAMP1_WT_R1
62	9	CRAMP1_WT_R1
63	11	CRAMP1_WT_R1
64	12	CRAMP1_WT_R1
65	17	CRAMP1_WT_R1
66	7	CRAMP1_WT_R1
67	12	CRAMP1_WT_R1
68	14	CRAMP1_WT_R1
69	18	CRAMP1_WT_R1
70	22	CRAMP1_WT_R1
71	12	CRAMP1_WT_R1
72	15	CRAMP1_WT_R1
73	13	CRAMP1_WT_R1
74	9	CRAMP1_WT_R1
75	22	CRAMP1_WT_R1
76	14	CRAMP1_WT_R1
77	12	CRAMP1_WT_R1
78	8	CRAMP1_WT_R1
79	10	CRAMP1_WT_R1
80	13	CRAMP1_WT_R1
81	12	CRAMP1_WT_R1
82	10	CRAMP1_WT_R1
83	9	CRAMP1_WT_R1
84	10	CRAMP1_WT_R1
85	11	CRAMP1_WT_R1
86	11	CRAMP1_WT_R1
87	15	CRAMP1_WT_R1
88	17	CRAMP1_WT_R1
89	10	CRAMP1_WT_R1
90	15	CRAMP1_WT_R1
91	15	CRAMP1_WT_R1
92	8	CRAMP1_WT_R1
93	14	CRAMP1_WT_R1
94	10	CRAMP1_WT_R1
95	14	CRAMP1_WT_R1
96	5	CRAMP1_WT_R1
97	11	CRAMP1_WT_R1
98	10	CRAMP1_WT_R1
99	11	CRAMP1_WT_R1
100	12	CRAMP1_WT_R1
101	10	CRAMP1_WT_R1
102	12	CRAMP1_WT_R1
103	10	CRAMP1_WT_R1
104	6	CRAMP1_WT_R1
105	8	CRAMP1_WT_R1
106	5	CRAMP1_WT_R1
107	7	CRAMP1_WT_R1
108	6	CRAMP1_WT_R1
109	13	CRAMP1_WT_R1
110	11	CRAMP1_WT_R1
111	13	CRAMP1_WT_R1
112	11	CRAMP1_WT_R1
113	11	CRAMP1_WT_R1
114	12	CRAMP1_WT_R1
115	7	CRAMP1_WT_R1
116	13	CRAMP1_WT_R1
117	10	CRAMP1_WT_R1
118	10	CRAMP1_WT_R1
119	14	CRAMP1_WT_R1
120	12	CRAMP1_WT_R1
121	5	CRAMP1_WT_R1
122	16	CRAMP1_WT_R1
123	14	CRAMP1_WT_R1
124	9	CRAMP1_WT_R1
125	4	CRAMP1_WT_R1
126	9	CRAMP1_WT_R1
127	9	CRAMP1_WT_R1
128	3	CRAMP1_WT_R1
129	12	CRAMP1_WT_R1
130	4	CRAMP1_WT_R1
131	8	CRAMP1_WT_R1
132	4	CRAMP1_WT_R1
133	10	CRAMP1_WT_R1
134	10	CRAMP1_WT_R1
135	7	CRAMP1_WT_R1
136	5	CRAMP1_WT_R1
137	8	CRAMP1_WT_R1
138	5	CRAMP1_WT_R1
139	7	CRAMP1_WT_R1
140	5	CRAMP1_WT_R1
141	7	CRAMP1_WT_R1
142	4	CRAMP1_WT_R1
143	8	CRAMP1_WT_R1
144	9	CRAMP1_WT_R1
145	5	CRAMP1_WT_R1
146	5	CRAMP1_WT_R1
147	6	CRAMP1_WT_R1
148	8	CRAMP1_WT_R1
149	7	CRAMP1_WT_R1
150	11	CRAMP1_WT_R1
151	11	CRAMP1_WT_R1
152	6	CRAMP1_WT_R1
153	4	CRAMP1_WT_R1
154	7	CRAMP1_WT_R1
155	4	CRAMP1_WT_R1
156	6	CRAMP1_WT_R1
157	6	CRAMP1_WT_R1
158	4	CRAMP1_WT_R1
159	3	CRAMP1_WT_R1
160	6	CRAMP1_WT_R1
161	5	CRAMP1_WT_R1
162	2	CRAMP1_WT_R1
163	6	CRAMP1_WT_R1
164	5	CRAMP1_WT_R1
165	7	CRAMP1_WT_R1
166	2	CRAMP1_WT_R1
167	6	CRAMP1_WT_R1
168	4	CRAMP1_WT_R1
169	10	CRAMP1_WT_R1
170	5	CRAMP1_WT_R1
171	4	CRAMP1_WT_R1
172	2	CRAMP1_WT_R1
173	7	CRAMP1_WT_R1
174	3	CRAMP1_WT_R1
176	3	CRAMP1_WT_R1
177	2	CRAMP1_WT_R1
178	4	CRAMP1_WT_R1
179	2	CRAMP1_WT_R1
180	3	CRAMP1_WT_R1
181	6	CRAMP1_WT_R1
182	1	CRAMP1_WT_R1
183	2	CRAMP1_WT_R1
184	4	CRAMP1_WT_R1
185	5	CRAMP1_WT_R1
186	2	CRAMP1_WT_R1
187	5	CRAMP1_WT_R1
188	2	CRAMP1_WT_R1
189	2	CRAMP1_WT_R1
190	2	CRAMP1_WT_R1
191	1	CRAMP1_WT_R1
192	1	CRAMP1_WT_R1
193	1	CRAMP1_WT_R1
194	1	CRAMP1_WT_R1
195	3	CRAMP1_WT_R1
196	1	CRAMP1_WT_R1
197	1	CRAMP1_WT_R1
198	1	CRAMP1_WT_R1
199	1	CRAMP1_WT_R1
200	3	CRAMP1_WT_R1
201	6	CRAMP1_WT_R1
202	2	CRAMP1_WT_R1
203	1	CRAMP1_WT_R1
204	2	CRAMP1_WT_R1
205	4	CRAMP1_WT_R1
206	4	CRAMP1_WT_R1
210	3	CRAMP1_WT_R1
211	1	CRAMP1_WT_R1
214	1	CRAMP1_WT_R1
215	1	CRAMP1_WT_R1
216	2	CRAMP1_WT_R1
217	1	CRAMP1_WT_R1
219	2	CRAMP1_WT_R1
221	2	CRAMP1_WT_R1
222	2	CRAMP1_WT_R1
223	3	CRAMP1_WT_R1
224	2	CRAMP1_WT_R1
225	2	CRAMP1_WT_R1
226	2	CRAMP1_WT_R1
227	1	CRAMP1_WT_R1
228	2	CRAMP1_WT_R1
229	1	CRAMP1_WT_R1
231	1	CRAMP1_WT_R1
233	1	CRAMP1_WT_R1
237	1	CRAMP1_WT_R1
243	1	CRAMP1_WT_R1
246	1	CRAMP1_WT_R1
248	1	CRAMP1_WT_R1
254	1	CRAMP1_WT_R1
256	2	CRAMP1_WT_R1
258	1	CRAMP1_WT_R1
267	1	CRAMP1_WT_R1
280	1	CRAMP1_WT_R1
281	1	CRAMP1_WT_R1
283	1	CRAMP1_WT_R1
284	1	CRAMP1_WT_R1
286	1	CRAMP1_WT_R1
287	1	CRAMP1_WT_R1
293	1	CRAMP1_WT_R1
362	1	CRAMP1_WT_R1
382	1	CRAMP1_WT_R1
