#bamPEFragmentSize
Size	Occurrences	Sample
25	1	GFP_R3
26	1	GFP_R3
27	2	GFP_R3
28	3	GFP_R3
29	3	GFP_R3
30	1	GFP_R3
31	2	GFP_R3
32	3	GFP_R3
33	7	GFP_R3
34	12	GFP_R3
35	6	GFP_R3
36	7	GFP_R3
37	6	GFP_R3
38	14	GFP_R3
39	17	GFP_R3
40	11	GFP_R3
41	6	GFP_R3
42	6	GFP_R3
43	8	GFP_R3
44	16	GFP_R3
45	12	GFP_R3
46	19	GFP_R3
47	14	GFP_R3
48	17	GFP_R3
49	12	GFP_R3
50	15	GFP_R3
51	11	GFP_R3
52	16	GFP_R3
53	8	GFP_R3
54	13	GFP_R3
55	16	GFP_R3
56	19	GFP_R3
57	28	GFP_R3
58	20	GFP_R3
59	23	GFP_R3
60	30	GFP_R3
61	26	GFP_R3
62	17	GFP_R3
63	21	GFP_R3
64	16	GFP_R3
65	13	GFP_R3
66	16	GFP_R3
67	20	GFP_R3
68	18	GFP_R3
69	25	GFP_R3
70	29	GFP_R3
71	21	GFP_R3
72	16	GFP_R3
73	16	GFP_R3
74	16	GFP_R3
75	12	GFP_R3
76	11	GFP_R3
77	15	GFP_R3
78	28	GFP_R3
79	32	GFP_R3
80	22	GFP_R3
81	12	GFP_R3
82	19	GFP_R3
83	12	GFP_R3
84	13	GFP_R3
85	21	GFP_R3
86	21	GFP_R3
87	12	GFP_R3
88	22	GFP_R3
89	30	GFP_R3
90	35	GFP_R3
91	25	GFP_R3
92	16	GFP_R3
93	17	GFP_R3
94	17	GFP_R3
95	16	GFP_R3
96	21	GFP_R3
97	16	GFP_R3
98	17	GFP_R3
99	18	GFP_R3
100	22	GFP_R3
101	20	GFP_R3
102	20	GFP_R3
103	13	GFP_R3
104	22	GFP_R3
105	17	GFP_R3
106	8	GFP_R3
107	11	GFP_R3
108	11	GFP_R3
109	23	GFP_R3
110	22	GFP_R3
111	24	GFP_R3
112	13	GFP_R3
113	23	GFP_R3
114	11	GFP_R3
115	12	GFP_R3
116	12	GFP_R3
117	18	GFP_R3
118	20	GFP_R3
119	28	GFP_R3
120	26	GFP_R3
121	9	GFP_R3
122	19	GFP_R3
123	10	GFP_R3
124	16	GFP_R3
125	8	GFP_R3
126	5	GFP_R3
127	5	GFP_R3
128	11	GFP_R3
129	18	GFP_R3
130	13	GFP_R3
131	16	GFP_R3
132	15	GFP_R3
133	9	GFP_R3
134	12	GFP_R3
135	14	GFP_R3
136	11	GFP_R3
137	8	GFP_R3
138	13	GFP_R3
139	16	GFP_R3
140	10	GFP_R3
141	14	GFP_R3
142	10	GFP_R3
143	11	GFP_R3
144	16	GFP_R3
145	9	GFP_R3
146	8	GFP_R3
147	7	GFP_R3
148	8	GFP_R3
149	5	GFP_R3
150	8	GFP_R3
151	9	GFP_R3
152	5	GFP_R3
153	9	GFP_R3
154	11	GFP_R3
155	8	GFP_R3
156	9	GFP_R3
157	4	GFP_R3
158	4	GFP_R3
159	5	GFP_R3
160	3	GFP_R3
161	8	GFP_R3
162	5	GFP_R3
163	5	GFP_R3
164	5	GFP_R3
165	7	GFP_R3
166	6	GFP_R3
167	5	GFP_R3
168	8	GFP_R3
169	2	GFP_R3
170	4	GFP_R3
171	1	GFP_R3
172	1	GFP_R3
173	6	GFP_R3
174	2	GFP_R3
176	3	GFP_R3
177	4	GFP_R3
178	3	GFP_R3
179	3	GFP_R3
180	1	GFP_R3
181	3	GFP_R3
182	3	GFP_R3
183	1	GFP_R3
184	1	GFP_R3
185	2	GFP_R3
186	2	GFP_R3
187	1	GFP_R3
188	2	GFP_R3
189	5	GFP_R3
190	3	GFP_R3
191	1	GFP_R3
193	6	GFP_R3
194	1	GFP_R3
195	1	GFP_R3
196	2	GFP_R3
197	1	GFP_R3
198	4	GFP_R3
199	1	GFP_R3
200	3	GFP_R3
201	1	GFP_R3
202	2	GFP_R3
203	2	GFP_R3
204	2	GFP_R3
207	1	GFP_R3
208	1	GFP_R3
209	4	GFP_R3
211	1	GFP_R3
212	1	GFP_R3
213	1	GFP_R3
214	1	GFP_R3
215	1	GFP_R3
217	3	GFP_R3
218	2	GFP_R3
219	2	GFP_R3
220	2	GFP_R3
222	2	GFP_R3
223	3	GFP_R3
225	2	GFP_R3
226	1	GFP_R3
227	2	GFP_R3
228	2	GFP_R3
231	2	GFP_R3
233	3	GFP_R3
234	1	GFP_R3
235	1	GFP_R3
239	1	GFP_R3
242	1	GFP_R3
243	1	GFP_R3
248	1	GFP_R3
251	1	GFP_R3
285	1	GFP_R3
323	1	GFP_R3
335	2	GFP_R3
336	1	GFP_R3
390	1	GFP_R3
486	1	GFP_R3
